Choosing point 0 as the root ...
Point 234 has a distance 114 to the tree, parent 0;
Point 235 has a distance 81 to the tree, parent 0;
Point 236 has a distance 40 to the tree, parent 0;
Point 237 has a distance 61 to the tree, parent 0;
Point 238 has a distance 52 to the tree, parent 0;
Point 239 has a distance 61 to the tree, parent 0;
Point 240 has a distance 108 to the tree, parent 0;
Point 241 has a distance 99 to the tree, parent 0;
Point 242 has a distance 101 to the tree, parent 0;
Point 243 has a distance 123 to the tree, parent 0;
Point 244 has a distance 56 to the tree, parent 0;
Point 245 has a distance 102 to the tree, parent 0;
Point 246 has a distance 89 to the tree, parent 0;
Point 247 has a distance 94 to the tree, parent 0;
Point 248 has a distance 88 to the tree, parent 0;
Point 249 has a distance 148 to the tree, parent 0;
Point 250 has a distance 81 to the tree, parent 0;
Point 251 has a distance 7 to the tree, parent 0;
Point 252 has a distance 59 to the tree, parent 0;
Point 253 has a distance 19 to the tree, parent 0;
Point 254 has a distance 16 to the tree, parent 0;
Point 255 has a distance 118 to the tree, parent 0;
Point 256 has a distance 50 to the tree, parent 0;
Point 257 has a distance 95 to the tree, parent 0;
Point 258 has a distance 32 to the tree, parent 0;
Point 259 has a distance 104 to the tree, parent 0;
Point 260 has a distance 52 to the tree, parent 0;
Point 261 has a distance 100 to the tree, parent 0;
Point 262 has a distance 60 to the tree, parent 0;
Point 263 has a distance 108 to the tree, parent 0;
Point 264 has a distance 81 to the tree, parent 0;
Point 265 has a distance 5 to the tree, parent 0;
Point 266 has a distance 74 to the tree, parent 0;
Point 267 has a distance 68 to the tree, parent 0;
Point 268 has a distance 75 to the tree, parent 0;
Point 269 has a distance 129 to the tree, parent 0;
Point 270 has a distance 33 to the tree, parent 0;
Point 271 has a distance 99 to the tree, parent 0;
Point 272 has a distance 38 to the tree, parent 0;
Point 273 has a distance 122 to the tree, parent 0;
Point 274 has a distance 54 to the tree, parent 0;
Point 275 has a distance 60 to the tree, parent 0;
Point 276 has a distance 53 to the tree, parent 0;
Point 277 has a distance 128 to the tree, parent 0;
Point 278 has a distance 84 to the tree, parent 0;
Point 279 has a distance 102 to the tree, parent 0;
Point 280 has a distance 76 to the tree, parent 0;
Point 281 has a distance 30 to the tree, parent 0;
Point 282 has a distance 94 to the tree, parent 0;
Point 283 has a distance 116 to the tree, parent 0;
Point 284 has a distance 63 to the tree, parent 0;
Point 285 has a distance 54 to the tree, parent 0;
Point 286 has a distance 49 to the tree, parent 0;
Point 287 has a distance 75 to the tree, parent 0;
Point 288 has a distance 39 to the tree, parent 0;
Point 289 has a distance 75 to the tree, parent 0;
Point 290 has a distance 83 to the tree, parent 0;
Point 291 has a distance 95 to the tree, parent 0;
Point 292 has a distance 76 to the tree, parent 0;
Point 293 has a distance 82 to the tree, parent 0;
Point 294 has a distance 87 to the tree, parent 0;
Point 295 has a distance 44 to the tree, parent 0;
Point 296 has a distance 55 to the tree, parent 0;
Point 297 has a distance 59 to the tree, parent 0;
Point 298 has a distance 117 to the tree, parent 0;
Point 299 has a distance 62 to the tree, parent 0;
Point 300 has a distance 93 to the tree, parent 0;
Point 301 has a distance 38 to the tree, parent 0;
Point 302 has a distance 72 to the tree, parent 0;
Point 303 has a distance 38 to the tree, parent 0;
Point 304 has a distance 84 to the tree, parent 0;
Point 305 has a distance 45 to the tree, parent 0;
Point 306 has a distance 45 to the tree, parent 0;
Point 307 has a distance 64 to the tree, parent 0;
Point 308 has a distance 88 to the tree, parent 0;
Point 309 has a distance 89 to the tree, parent 0;
Point 310 has a distance 90 to the tree, parent 0;
Point 311 has a distance 104 to the tree, parent 0;
Point 312 has a distance 88 to the tree, parent 0;
Point 313 has a distance 56 to the tree, parent 0;
Point 314 has a distance 35 to the tree, parent 0;
Point 315 has a distance 17 to the tree, parent 0;
Point 316 has a distance 108 to the tree, parent 0;
Point 317 has a distance 81 to the tree, parent 0;
Point 318 has a distance 57 to the tree, parent 0;
Point 319 has a distance 100 to the tree, parent 0;
Point 320 has a distance 15 to the tree, parent 0;
Point 321 has a distance 94 to the tree, parent 0;
Point 322 has a distance 36 to the tree, parent 0;
Point 323 has a distance 106 to the tree, parent 0;
Point 324 has a distance 118 to the tree, parent 0;
Point 325 has a distance 85 to the tree, parent 0;
Point 326 has a distance 64 to the tree, parent 0;
Point 327 has a distance 119 to the tree, parent 0;
Point 328 has a distance 61 to the tree, parent 0;
Point 329 has a distance 53 to the tree, parent 0;
Point 330 has a distance 50 to the tree, parent 0;
Point 331 has a distance 65 to the tree, parent 0;
Point 332 has a distance 54 to the tree, parent 0;
Point 333 has a distance 83 to the tree, parent 0;
Point 334 has a distance 45 to the tree, parent 0;
Point 335 has a distance 31 to the tree, parent 0;
Point 336 has a distance 72 to the tree, parent 0;
Point 337 has a distance 8 to the tree, parent 0;
Point 338 has a distance 114 to the tree, parent 0;
Point 339 has a distance 10 to the tree, parent 0;
Point 340 has a distance 94 to the tree, parent 0;
Point 341 has a distance 101 to the tree, parent 0;
Point 342 has a distance 92 to the tree, parent 0;
Point 343 has a distance 72 to the tree, parent 0;
Point 344 has a distance 30 to the tree, parent 0;
Point 345 has a distance 64 to the tree, parent 0;
Point 346 has a distance 31 to the tree, parent 0;
Point 347 has a distance 151 to the tree, parent 0;
Point 348 has a distance 46 to the tree, parent 0;
Point 349 has a distance 53 to the tree, parent 0;
Point 350 has a distance 52 to the tree, parent 0;
Point 351 has a distance 61 to the tree, parent 0;
Point 352 has a distance 78 to the tree, parent 0;
Point 353 has a distance 67 to the tree, parent 0;
Point 354 has a distance 75 to the tree, parent 0;
Point 355 has a distance 50 to the tree, parent 0;
Point 356 has a distance 13 to the tree, parent 0;
Point 357 has a distance 141 to the tree, parent 0;
Point 358 has a distance 95 to the tree, parent 0;
Point 359 has a distance 92 to the tree, parent 0;
Point 360 has a distance 78 to the tree, parent 0;
Point 361 has a distance 79 to the tree, parent 0;
Point 362 has a distance 69 to the tree, parent 0;
Point 363 has a distance 73 to the tree, parent 0;
Point 364 has a distance 52 to the tree, parent 0;
Point 365 has a distance 91 to the tree, parent 0;
Point 366 has a distance 141 to the tree, parent 0;
