Choosing point 0 as the root ...
Point 244 has a distance 863 to the tree, parent 0;
Point 245 has a distance 950 to the tree, parent 0;
Point 246 has a distance 326 to the tree, parent 0;
Point 247 has a distance 896 to the tree, parent 0;
Point 248 has a distance 191 to the tree, parent 0;
Point 249 has a distance 994 to the tree, parent 0;
Point 250 has a distance 914 to the tree, parent 0;
Point 251 has a distance 1067 to the tree, parent 0;
Point 252 has a distance 825 to the tree, parent 0;
Point 253 has a distance 361 to the tree, parent 0;
Point 254 has a distance 248 to the tree, parent 0;
Point 255 has a distance 655 to the tree, parent 0;
Point 256 has a distance 1019 to the tree, parent 0;
Point 257 has a distance 438 to the tree, parent 0;
Point 258 has a distance 702 to the tree, parent 0;
Point 259 has a distance 446 to the tree, parent 0;
Point 260 has a distance 837 to the tree, parent 0;
Point 261 has a distance 1393 to the tree, parent 0;
Point 262 has a distance 574 to the tree, parent 0;
Point 263 has a distance 1047 to the tree, parent 0;
Point 264 has a distance 988 to the tree, parent 0;
Point 265 has a distance 865 to the tree, parent 0;
Point 266 has a distance 1035 to the tree, parent 0;
Point 267 has a distance 132 to the tree, parent 0;
Point 268 has a distance 1003 to the tree, parent 0;
Point 269 has a distance 1380 to the tree, parent 0;
Point 270 has a distance 639 to the tree, parent 0;
Point 271 has a distance 167 to the tree, parent 0;
Point 272 has a distance 624 to the tree, parent 0;
Point 273 has a distance 1254 to the tree, parent 0;
Point 274 has a distance 1275 to the tree, parent 0;
Point 275 has a distance 577 to the tree, parent 0;
Point 276 has a distance 723 to the tree, parent 0;
Point 277 has a distance 735 to the tree, parent 0;
Point 278 has a distance 473 to the tree, parent 0;
Point 279 has a distance 1090 to the tree, parent 0;
Point 280 has a distance 449 to the tree, parent 0;
Point 281 has a distance 990 to the tree, parent 0;
Point 282 has a distance 824 to the tree, parent 0;
Point 283 has a distance 1281 to the tree, parent 0;
Point 284 has a distance 481 to the tree, parent 0;
Point 285 has a distance 942 to the tree, parent 0;
Point 286 has a distance 632 to the tree, parent 0;
Point 287 has a distance 585 to the tree, parent 0;
Point 288 has a distance 905 to the tree, parent 0;
Point 289 has a distance 885 to the tree, parent 0;
Point 290 has a distance 984 to the tree, parent 0;
Point 291 has a distance 154 to the tree, parent 0;
Point 292 has a distance 373 to the tree, parent 0;
Point 293 has a distance 421 to the tree, parent 0;
Point 294 has a distance 681 to the tree, parent 0;
Point 295 has a distance 936 to the tree, parent 0;
Point 296 has a distance 922 to the tree, parent 0;
Point 297 has a distance 141 to the tree, parent 0;
Point 298 has a distance 913 to the tree, parent 0;
Point 299 has a distance 509 to the tree, parent 0;
Point 300 has a distance 921 to the tree, parent 0;
Point 301 has a distance 319 to the tree, parent 0;
Point 302 has a distance 461 to the tree, parent 0;
Point 303 has a distance 1280 to the tree, parent 0;
Point 304 has a distance 1136 to the tree, parent 0;
Point 305 has a distance 1418 to the tree, parent 0;
Point 306 has a distance 669 to the tree, parent 0;
Point 307 has a distance 763 to the tree, parent 0;
Point 308 has a distance 1165 to the tree, parent 0;
Point 309 has a distance 1208 to the tree, parent 0;
Point 310 has a distance 41 to the tree, parent 0;
Point 311 has a distance 1222 to the tree, parent 0;
Point 312 has a distance 313 to the tree, parent 0;
Point 313 has a distance 582 to the tree, parent 0;
Point 314 has a distance 848 to the tree, parent 0;
Point 315 has a distance 475 to the tree, parent 0;
Point 316 has a distance 432 to the tree, parent 0;
Point 317 has a distance 621 to the tree, parent 0;
Point 318 has a distance 864 to the tree, parent 0;
Point 319 has a distance 733 to the tree, parent 0;
Point 320 has a distance 156 to the tree, parent 0;
Point 321 has a distance 1056 to the tree, parent 0;
Point 322 has a distance 138 to the tree, parent 0;
Point 323 has a distance 1300 to the tree, parent 0;
Point 324 has a distance 456 to the tree, parent 0;
Point 325 has a distance 1298 to the tree, parent 0;
Point 326 has a distance 145 to the tree, parent 0;
Point 327 has a distance 961 to the tree, parent 0;
Point 328 has a distance 1226 to the tree, parent 0;
Point 329 has a distance 372 to the tree, parent 0;
Point 330 has a distance 519 to the tree, parent 0;
Point 331 has a distance 214 to the tree, parent 0;
Point 332 has a distance 940 to the tree, parent 0;
Point 333 has a distance 1338 to the tree, parent 0;
Point 334 has a distance 1450 to the tree, parent 0;
Point 335 has a distance 703 to the tree, parent 0;
Point 336 has a distance 583 to the tree, parent 0;
Point 337 has a distance 975 to the tree, parent 0;
Point 338 has a distance 619 to the tree, parent 0;
Point 339 has a distance 1272 to the tree, parent 0;
Point 340 has a distance 1026 to the tree, parent 0;
Point 341 has a distance 502 to the tree, parent 0;
Point 342 has a distance 714 to the tree, parent 0;
Point 343 has a distance 1067 to the tree, parent 0;
Point 344 has a distance 507 to the tree, parent 0;
Point 345 has a distance 259 to the tree, parent 0;
Point 346 has a distance 202 to the tree, parent 0;
Point 347 has a distance 849 to the tree, parent 0;
Point 348 has a distance 1136 to the tree, parent 0;
Point 349 has a distance 671 to the tree, parent 0;
Point 350 has a distance 1194 to the tree, parent 0;
Point 351 has a distance 788 to the tree, parent 0;
Point 352 has a distance 341 to the tree, parent 0;
Point 353 has a distance 726 to the tree, parent 0;
Point 354 has a distance 113 to the tree, parent 0;
Point 355 has a distance 1153 to the tree, parent 0;
Point 356 has a distance 573 to the tree, parent 0;
Point 357 has a distance 881 to the tree, parent 0;
Point 358 has a distance 943 to the tree, parent 0;
Point 359 has a distance 382 to the tree, parent 0;
Point 360 has a distance 819 to the tree, parent 0;
Point 361 has a distance 392 to the tree, parent 0;
Point 362 has a distance 835 to the tree, parent 0;
Point 363 has a distance 181 to the tree, parent 0;
Point 364 has a distance 365 to the tree, parent 0;
Point 365 has a distance 491 to the tree, parent 0;
Point 366 has a distance 389 to the tree, parent 0;
Point 367 has a distance 465 to the tree, parent 0;
Point 368 has a distance 953 to the tree, parent 0;
Point 369 has a distance 368 to the tree, parent 0;
Point 370 has a distance 1197 to the tree, parent 0;
Point 371 has a distance 637 to the tree, parent 0;
Point 372 has a distance 437 to the tree, parent 0;
Point 373 has a distance 613 to the tree, parent 0;
Point 374 has a distance 634 to the tree, parent 0;
Point 375 has a distance 1076 to the tree, parent 0;
Point 376 has a distance 447 to the tree, parent 0;
Point 377 has a distance 780 to the tree, parent 0;
Point 378 has a distance 956 to the tree, parent 0;
Point 379 has a distance 530 to the tree, parent 0;
Point 380 has a distance 748 to the tree, parent 0;
Point 381 has a distance 815 to the tree, parent 0;
Point 382 has a distance 347 to the tree, parent 0;
Point 383 has a distance 858 to the tree, parent 0;
Point 384 has a distance 857 to the tree, parent 0;
Point 385 has a distance 994 to the tree, parent 0;
Point 386 has a distance 1193 to the tree, parent 0;
Point 387 has a distance 350 to the tree, parent 0;
Point 388 has a distance 98 to the tree, parent 0;
Point 389 has a distance 525 to the tree, parent 0;
Point 390 has a distance 1638 to the tree, parent 0;
Point 391 has a distance 1225 to the tree, parent 0;
Point 392 has a distance 1046 to the tree, parent 0;
Point 393 has a distance 613 to the tree, parent 0;
Point 394 has a distance 1091 to the tree, parent 0;
Point 395 has a distance 949 to the tree, parent 0;
Point 396 has a distance 1347 to the tree, parent 0;
Point 397 has a distance 369 to the tree, parent 0;
Point 398 has a distance 392 to the tree, parent 0;
Point 399 has a distance 456 to the tree, parent 0;
Point 400 has a distance 569 to the tree, parent 0;
Point 401 has a distance 1383 to the tree, parent 0;
Point 402 has a distance 881 to the tree, parent 0;
Point 403 has a distance 1329 to the tree, parent 0;
Point 404 has a distance 1243 to the tree, parent 0;
Point 405 has a distance 856 to the tree, parent 0;
Point 406 has a distance 852 to the tree, parent 0;
Point 407 has a distance 391 to the tree, parent 0;
Point 408 has a distance 777 to the tree, parent 0;
Point 409 has a distance 836 to the tree, parent 0;
Point 410 has a distance 870 to the tree, parent 0;
Point 411 has a distance 114 to the tree, parent 0;
Point 412 has a distance 135 to the tree, parent 0;
Point 413 has a distance 537 to the tree, parent 0;
Point 414 has a distance 945 to the tree, parent 0;
Point 415 has a distance 1316 to the tree, parent 0;
Point 416 has a distance 947 to the tree, parent 0;
Point 417 has a distance 1214 to the tree, parent 0;
Point 418 has a distance 325 to the tree, parent 0;
Point 419 has a distance 232 to the tree, parent 0;
Point 420 has a distance 752 to the tree, parent 0;
Point 421 has a distance 694 to the tree, parent 0;
Point 422 has a distance 415 to the tree, parent 0;
Point 423 has a distance 1059 to the tree, parent 0;
Point 424 has a distance 1354 to the tree, parent 0;
Point 425 has a distance 250 to the tree, parent 0;
Point 426 has a distance 305 to the tree, parent 0;
Point 427 has a distance 375 to the tree, parent 0;
Point 428 has a distance 1108 to the tree, parent 0;
Point 429 has a distance 1026 to the tree, parent 0;
Point 430 has a distance 935 to the tree, parent 0;
Point 431 has a distance 502 to the tree, parent 0;
Point 432 has a distance 1284 to the tree, parent 0;
Point 433 has a distance 762 to the tree, parent 0;
Point 434 has a distance 578 to the tree, parent 0;
Point 435 has a distance 163 to the tree, parent 0;
Point 436 has a distance 1020 to the tree, parent 0;
Point 437 has a distance 1178 to the tree, parent 0;
Point 438 has a distance 307 to the tree, parent 0;
Point 439 has a distance 1499 to the tree, parent 0;
Point 440 has a distance 941 to the tree, parent 0;
Point 441 has a distance 850 to the tree, parent 0;
Point 442 has a distance 702 to the tree, parent 0;
Point 443 has a distance 862 to the tree, parent 0;
Point 444 has a distance 463 to the tree, parent 0;
Point 445 has a distance 358 to the tree, parent 0;
Point 446 has a distance 785 to the tree, parent 0;
Point 447 has a distance 175 to the tree, parent 0;
Point 448 has a distance 610 to the tree, parent 0;
Point 449 has a distance 1616 to the tree, parent 0;
Point 450 has a distance 425 to the tree, parent 0;
Point 451 has a distance 1448 to the tree, parent 0;
Point 452 has a distance 1163 to the tree, parent 0;
Point 453 has a distance 912 to the tree, parent 0;
Point 454 has a distance 204 to the tree, parent 0;
Point 455 has a distance 1127 to the tree, parent 0;
Point 456 has a distance 234 to the tree, parent 0;
Point 457 has a distance 1556 to the tree, parent 0;
Point 458 has a distance 446 to the tree, parent 0;
Point 459 has a distance 711 to the tree, parent 0;
Point 460 has a distance 268 to the tree, parent 0;
Point 461 has a distance 1084 to the tree, parent 0;
Point 462 has a distance 989 to the tree, parent 0;
Point 463 has a distance 651 to the tree, parent 0;
Point 464 has a distance 681 to the tree, parent 0;
Point 465 has a distance 1030 to the tree, parent 0;
Point 466 has a distance 620 to the tree, parent 0;
Point 467 has a distance 118 to the tree, parent 0;
Point 468 has a distance 348 to the tree, parent 0;
Point 469 has a distance 1528 to the tree, parent 0;
Point 470 has a distance 65 to the tree, parent 0;
Point 471 has a distance 1327 to the tree, parent 0;
Point 472 has a distance 875 to the tree, parent 0;
Point 473 has a distance 708 to the tree, parent 0;
Point 474 has a distance 1235 to the tree, parent 0;
Point 475 has a distance 777 to the tree, parent 0;
Point 476 has a distance 450 to the tree, parent 0;
Point 477 has a distance 190 to the tree, parent 0;
Point 478 has a distance 1397 to the tree, parent 0;
Point 479 has a distance 1285 to the tree, parent 0;
Point 480 has a distance 313 to the tree, parent 0;
Point 481 has a distance 790 to the tree, parent 0;
Point 482 has a distance 1109 to the tree, parent 0;
Point 483 has a distance 938 to the tree, parent 0;
Point 484 has a distance 1566 to the tree, parent 0;
Point 485 has a distance 408 to the tree, parent 0;
Point 486 has a distance 746 to the tree, parent 0;
Point 487 has a distance 962 to the tree, parent 0;
Point 488 has a distance 683 to the tree, parent 0;
Point 489 has a distance 852 to the tree, parent 0;
Point 490 has a distance 1336 to the tree, parent 0;
Point 491 has a distance 489 to the tree, parent 0;
Point 492 has a distance 525 to the tree, parent 0;
Point 493 has a distance 1471 to the tree, parent 0;
Point 494 has a distance 411 to the tree, parent 0;
Point 495 has a distance 496 to the tree, parent 0;
Point 496 has a distance 697 to the tree, parent 0;
Point 497 has a distance 238 to the tree, parent 0;
Point 498 has a distance 1012 to the tree, parent 0;
Point 499 has a distance 754 to the tree, parent 0;
Point 500 has a distance 268 to the tree, parent 0;
Point 501 has a distance 763 to the tree, parent 0;
Point 502 has a distance 538 to the tree, parent 0;
Point 503 has a distance 574 to the tree, parent 0;
Point 504 has a distance 1331 to the tree, parent 0;
Point 505 has a distance 766 to the tree, parent 0;
Point 506 has a distance 1118 to the tree, parent 0;
Point 507 has a distance 1007 to the tree, parent 0;
